,Symbol,Description,Exchange,Last Price,Market Cap
0,AABA,Altaba Inc,NASDAQ,$62.16 USD,37.97 B
1,AAL,American Airlines Gp,NASDAQ,$33.99 USD,15.46 B
2,AAME,Atlantic Amer Cp,NASDAQ,$2.41 USD,48.88 M
3,AAOI,Applied Optoelect,NASDAQ,$19.36 USD,378.95 M
4,AAON,Aaon Inc,NASDAQ,$34.96 USD,1.83 B
5,AAPL,Apple Inc,NASDAQ,0,0
6,AAWW,Atlas Air Ww,NASDAQ,0,0
7,AAXJ,All Country Asia Ex Japan Ishares MSCI ETF,NASDAQ,0,0
8,AAXN,Axon Inc,NASDAQ,0,0
9,ABAC,Aoxin Tianli Grp,NASDAQ,0,0
10,ABCB,Ameris Bancorp,NASDAQ,0,0
11,ABCD,Cambium Learning Grp,NASDAQ,0,0
12,ABDC,Alcentra Capital Com,NASDAQ,0,0
13,ABEO,Abeona Therapeutics,NASDAQ,0,0
14,ABEOW,Abeona Thera Wts,NASDAQ,0,0
15,ABIL,Ability Inc,NASDAQ,0,0
16,ABIO,Arca Biopharma Inc,NASDAQ,0,0
17,ABMD,Abiomed Inc,NASDAQ,0,0
18,ABTX,Allegiance Banc CS,NASDAQ,0,0
19,ABUS,Arbutus Biopharma Cp,NASDAQ,0,0
20,ACAD,Acadia Pharmaceutica,NASDAQ,0,0
21,ACBI,Atlantic Capital,NASDAQ,0,0
22,ACER,Acer Therapeutics Inc,NASDAQ,0,0
23,ACET,Aceto Cp,NASDAQ,0,0
24,ACGL,Arch Capital Grp Ltd,NASDAQ,0,0
25,ACGLO,Arch Capital Group Ltd ADR,NASDAQ,0,0
26,ACGLP,Arch Capital Group Ltd,NASDAQ,0,0
27,ACHC,Acadia Healthcr Co,NASDAQ,0,0
28,ACHN,Achillion Pharmaceut,NASDAQ,0,0
29,ACHV,Achieve Life Sciences Inc,NASDAQ,0,0
30,ACIA,Acacia Communica,NASDAQ,0,0
31,ACIU,AC Immune S.A.,NASDAQ,0,0
32,ACIW,Aci Worldwide Inc,NASDAQ,0,0
33,ACLS,Axcelis Tech Inc,NASDAQ,0,0
34,ACMR,Acm Research Inc,NASDAQ,0,0
35,ACNB,Acnb Corp,NASDAQ,0,0
36,ACOR,Acorda Therapeutics,NASDAQ,0,0
37,ACRS,Aclaris Therapts,NASDAQ,0,0
38,ACRX,Acelrx Pharmaceutica,NASDAQ,0,0
39,ACST,Acasti Pharma,NASDAQ,0,0
40,ACT,Advisorshares Vice ETF,NASDAQ,0,0
41,ACTG,Acacia Res-Acacia,NASDAQ,0,0
42,ACWI,ACWI Ishares MSCI ETF,NASDAQ,0,0
43,ACWX,ACWI Ex US Ishares MSCI ETF,NASDAQ,0,0
44,ADAP,Adaptimmune Ther Ads,NASDAQ,0,0
45,ADBE,Adobe Systems Inc,NASDAQ,0,0
46,ADES,Advanced Emissions Solutions Inc,NASDAQ,0,0
47,ADI,Analog Devices,NASDAQ,0,0
48,ADIL,Adial Pharmaceuticals Inc,NASDAQ,0,0
49,ADILW,Adial Pharmaceuticals Inc Warrant,NASDAQ,0,0
50,ADMA,Adma Biologics,NASDAQ,0,0
51,ADMP,Adamis Pharmaceuticl,NASDAQ,0,0
52,ADMS,Adamas Pharma,NASDAQ,0,0
53,ADOM,Adomani Inc,NASDAQ,0,0
54,ADP,Automatic Data Procs,NASDAQ,0,0
55,ADRA,Bldrs Asia 50 ADR Index Fund Invesco,NASDAQ,0,0
